late,late,1,,,late,,,,,,
best,late,1,,,best,,,,,,
late,best,0,,,even,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,Aの勝率,Bの勝率,試合数,
best,best,0,,,,,,91,107,200,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,勝ち,負け,引き分け,合計
best,late,1,,,,,A,107,91,2,200
late,best,0,,,,,B,91,107,2,200
best,best,0,,,,,合計,198,198,4,400
late,late,1,,,,,,,,,
best,best,0,,,,,,勝ち,負け,引き分け,合計
late,best,0,,,,,A,99,99,2,200
best,best,0,,,,,B,99,99,2,200
late,late,1,,,,,合計,198,198,4,400
best,best,0,,,,,,,,,
late,late,1,,,,,0.274465614,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,even,0.5,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,even,0.5,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,best,0,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,best,0,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
late,late,1,,,,,,,,,
best,best,0,,,,,,,,,
late,late,1,,,,,,,,,
best,late,1,,,,,,,,,
